"","times","mod","weather","variable","value"
"123",2020-07-01,"Real Data","1","Burgenland",0.224074801159302
"124",2020-07-02,"Real Data","1","Burgenland",0.136786998371152
"125",2020-07-03,"Real Data","1","Burgenland",0.0774599242694098
"126",2020-07-04,"Real Data","1","Burgenland",0.0597819514534878
"127",2020-07-05,"Real Data","1","Burgenland",0.187320575792108
"128",2020-07-06,"Real Data","1","Burgenland",0.0877763190645353
"129",2020-07-07,"Real Data","1","Burgenland",0.15710357466249
"130",2020-07-08,"Real Data","1","Burgenland",0.339947443247529
"131",2020-07-09,"Real Data","1","Burgenland",0.269753773420562
"132",2020-07-10,"Real Data","1","Burgenland",0.189595978455706
"133",2020-07-11,"Real Data","1","Burgenland",0.071124245635743
"134",2020-07-12,"Real Data","1","Burgenland",0.37624559804754
"135",2020-07-13,"Real Data","1","Burgenland",0.244530168548761
"136",2020-07-14,"Real Data","1","Burgenland",0.126202173533267
"137",2020-07-15,"Real Data","1","Burgenland",0.0448980491461366
"138",2020-07-16,"Real Data","1","Burgenland",0.145664288991037
"139",2020-07-17,"Real Data","1","Burgenland",0.355068450882257
"140",2020-07-18,"Real Data","1","Burgenland",0.361130793095684
"141",2020-07-19,"Real Data","1","Burgenland",0.315851335807158
"142",2020-07-20,"Real Data","1","Burgenland",0.255940684589209
"143",2020-07-21,"Real Data","1","Burgenland",0.294646348795722
"144",2020-07-22,"Real Data","1","Burgenland",0.438804711280571
"145",2020-07-23,"Real Data","1","Burgenland",0.375955353732999
"146",2020-07-24,"Real Data","1","Burgenland",0.267043086405903
"147",2020-07-25,"Real Data","1","Burgenland",0.13173253612252
"148",2020-07-26,"Real Data","1","Burgenland",0.0887326091211922
"149",2020-07-27,"Real Data","1","Burgenland",0.101406298219893
"150",2020-07-28,"Real Data","1","Burgenland",0.268333277216383
"151",2020-07-29,"Real Data","1","Burgenland",0.575992604691556
"152",2020-07-30,"Real Data","1","Burgenland",0.284206749222726
"153",2020-07-31,"Real Data","1","Burgenland",0.186246452188832
"154",2020-08-01,"Real Data","1","Burgenland",0.164689974958409
